请问您的性别是？,您所在的城市属于哪个省（直辖市/自治区/特区）？,请问您的出生年代是？,请问您的学历是？,请问您是否有海外留学经历？（以学习为目的，在国外停留超过1个月）,请问未来1-3年内，您是否有留学或继续深造计划？（多选）,您是否考虑线上教学的方式继续深造？,请问您属于以下哪种身份？,请问您所从事的行业是？,请问您在单位的岗位职能是？,关于汽车，请问以下哪个描述符合您的情况？,请问您拥有什么类型的汽车？,请问您购买的车型品牌是？,请问您购买汽车的价格是在什么范围？（如果拥有多辆车，请以价格最高的一辆车为准）,请问您未来1年内是否有购置汽车的计划？,请问您对新能源纯电动汽车的尝试意愿如何？,请问您更愿意尝试以下哪个品牌的新能源纯电动汽车？,请问您和您家人每年旅行消费支出是（排除疫情年度影响）？,请问您常规每年开展几次出境游（排除疫情年度影响，个人+商务旅行）,请问在订购机票时，您一般选择什么舱位？,请问您在选择酒店时，通常预定什么等级的酒店？（最多选择两项）,请问您在选择酒店时，通常每个房间每晚消费多少？,请问您购买过哪些品类的奢侈品？（多选）,请问您购买奢侈品的主要用途是？（多选）,请问您拥有几块机械腕表类的奢侈品?,请问您拥有几件珠宝类的奢侈品?,请问您拥有几件包/鞋/服饰类的奢侈品？,请问您购买奢侈品时的考虑因素有哪些？（多选）,请问您对以下哪些品牌的腕表感兴趣？（多选）,请问您拥有何种品牌的机械腕表？（如有多块儿腕表，请多选）,请问您购买这块机械腕表的花费是多少？（若您有多块机械腕表，则填写最贵的那块机械腕表价格）,请问您未来是否会考虑购买机械腕表，计划在多长时间内购买机械腕表？,请问您计划花多少钱来购买机械腕表？,请问您用过哪些彩妆及肤护品？或者您购买过哪些送人？（多选）,请问您或您的家庭在未来1年内计划购买以下哪些电子产品？（多选）,请问您新购/更换手机的频率是？,请问您在购买手机时，主要考虑因素有哪些？（多选）,请问您的婚姻状况是？,请问您目前的家庭情况是？,请问您的子女处在哪个人生阶段？(如您有2个及以上孩子请多选),请问您是否有宠物？,请问您每个月在宠物身上的平均花费是多少？,请问您过去一年的个人平均月收入范围是？（包括固定工资，奖金，福利，金融产品收益，资产收益等所有收入的总和）,请问过去一年您的家庭平均税前月收入范围是？（如未婚则仅包含个人；包括固定工资，奖金，福利，金融产品收益，资产收益等所有收入的总和）,请问过去一年您消费占比最高的三项是？,在闲暇时，您主要的消遣方式有哪些？（多选）,请问您平均每月网购次数？,请问您平均每月网购总金额范围？,请问您在消费时更看重以下哪点？,请问您经常使用的网购平台是？（多选）,请问您在消费时，是否容易受到他人影响？,设备,作答时长
女,贵州,90后（90-94年出生）,硕士/MBA,是,"[""none""]",是,企业中层管理人员,电商/零售/贸易,人事/行政/财务,没有汽车,,,,暂时无购车计划,非常愿意尝试,理想ONE,"30,001-50,000元",1-2次,经济舱,"[""五星级/豪华型"",""民宿/公寓""]","801-1,500元/晚","[""珠宝"",""包"",""服饰""]","[""自用""]",,3-4件,5件以上,"[""质量"",""款式/颜色"",""实用"",""品牌"",""价格""]","[""宝格丽BVLGARI"",""浪琴LONGINES"",""万国IWC"",""欧米茄OMEGA""]","[""浪琴LONGINES"",""欧米茄OMEGA"",""宝格丽BVLGARI""]",,不打算购买,,"[""迪奥Dior"",""娇韵诗"",""圣罗兰YSL"",""SK-II"",""欧莱雅"",""娇兰"",""植村秀"",""汤姆福特TOM FORD"",""乔治阿玛尼Giorgio Armani"",""博柏利Burberry"",""兰蔻Lancome"",""纪梵希Givenchy"",""馥蕾诗fresh"",""资生堂"",""雅诗兰黛Estee Lauder"",""香奈儿CHANEL""]","[""手机"",""摄影摄像（数码相机、单反相机、摄像机等）"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统""]",已婚,无子女,,猫,"1,000元以下","10,001-30,000元","300,000元以上","[""服饰消费"",""日用品消费"",""餐饮消费""]","[""话剧、戏剧、脱口秀等"",""郊游/周边游"",""健身、各类运动"",""看展、逛市集"",""电影、连续剧"",""读书""]",10次以上,"3,000～5,000元",外观颜值,"[""拼多多"",""考拉海购"",""亚马逊"",""淘宝/天猫"",""京东""]",否,iOS,824
男,北京,95后（95-99年出生）,大学本科,否,"[""到欧美地区申请研究生"",""在国内申请研究生""]",是,企业中层管理人员,计算机/互联网/电子,技术/研发,没有汽车,,,,暂时无购车计划,比较愿意尝试,特斯拉,"50,001-80,000元",很少,经济舱,"[""民宿/公寓""]",800元以下/晚,"[""鞋"",""服饰""]","[""自用""]",,,3-4件,"[""折扣/优惠"",""保值/收藏价值"",""质量"",""品牌""]","[""浪琴LONGINES"",""梵克雅宝VANCLEEF&ARPELS"",""宝格丽BVLGARI""]","[""香奈儿CHANEL"",""浪琴LONGINES"",""万国IWC"",""梵克雅宝VANCLEEF&ARPELS"",""宝格丽BVLGARI""]",,2-3年,3万-5万元,"[""SK-II"",""兰蔻Lancome"",""乔治阿玛尼Giorgio Armani"",""迪奥Dior""]","[""手机"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均1年以内购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统"",""质量/耐用"",""功能"",""口碑"",""售后服务""]",未婚,,,无,,none,,"[""兴趣消费"",""服饰消费"",""智能产品消费、电子产品消费""]","[""兴趣养成或技能提升类的活动/课程"",""朋友聚会、咖啡吧、酒吧、live house等"",""逛商场、购物"",""郊游/周边游"",""健身、各类运动"",""读书""]",1-5次,"3,000～5,000元",性价比高,"[""淘宝/天猫"",""苏宁易购"",""寺库 "",""得物"",""拼多多"",""京东"",""亲朋好友代买""]",否,iOS,239
男,湖南,90后（90-94年出生）,大学本科,否,"[""none""]",是,企业职员,邮电通信,市场/营销,有2辆及以上汽车,"[""普通轿车（两厢、三厢）"",""SUV（比如途观、奔驰GLK等）"",""新能源车""]","[""特斯拉"",""沃尔沃""]",20-50万元,,非常愿意尝试,特斯拉,"10,001-30,000元",很少,经济舱,"[""五星级/豪华型""]","801-1,500元/晚","[""包""]","[""自用""]",,,5件以上,"[""价格"",""品牌""]","[""劳力士ROLEX""]","[""欧米茄OMEGA"",""泰格豪雅TAG HEUER""]",,1-2年,5万-10万元,"[""海蓝之谜La Mer""]","[""电脑整机（笔记本、一体机、平板电脑等）"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）""]",平均3年以上购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统"",""质量/耐用""]",未婚,,,无,,"10,000元以下",,"[""餐饮消费"",""日用品消费"",""兴趣消费""]","[""读书""]",10次以上,"3,000元以下",质量品质,"[""亚马逊"",""淘宝/天猫"",""京东""]",否,iOS,229
男,广东,80后（80-84年出生）,大学本科,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,企业高层管理人员,电商/零售/贸易,,有2辆及以上汽车,"[""普通轿车（两厢、三厢）"",""SUV（比如途观、奔驰GLK等）""]","[""本田"",""日产"",""雷克萨斯""]",20-50万元,,比较愿意尝试,比亚迪,"10,000元及以下",3-5次,经济舱,"[""四星级/高档型""]",不确定,"[""机械腕表"",""鞋""]","[""自用""]",1块,,2件,"[""品牌""]","[""帝舵TUDOR"",""百达翡丽PATEK PHILIPPE""]","[""天梭TISSOT""]",1万元以下,不确定,,"[""资生堂"",""植村秀"",""雅诗兰黛Estee Lauder"",""兰蔻Lancome"",""海蓝之谜La Mer"",""赫莲娜HR""]","[""电脑整机（笔记本、一体机、平板电脑等）"",""摄影摄像（数码相机、单反相机、摄像机等）""]",平均3年以上购买1部手机,"[""品牌""]",已婚,不方便透露,,无,,none,none,"[""学习消费"",""餐饮消费"",""汽车相关消费（私家车）""]","[""读书"",""兴趣养成或技能提升类的活动/课程"",""朋友聚会、咖啡吧、酒吧、live house等"",""健身、各类运动"",""逛商场、购物""]",1-5次,"3,000～5,000元",实用性强,"[""拼多多"",""京东"",""淘宝/天猫"",""苏宁易购""]",否,iOS,320
男,山东,85后（85-89年出生）,硕士/MBA,是,"[""none""]",是,企业中层管理人员,银行/证券/保险/投资机构及互联网金融,市场/营销,有2辆及以上汽车,"[""SUV（比如途观、奔驰GLK等）""]","[""宝马"",""别克""]",20-50万元,,比较愿意尝试,小鹏,"10,001-30,000元",1-2次,经济舱,"[""三星级/舒适型""]",800元以下/晚,"[""机械腕表"",""包""]","[""自用""]",5块以上,,5件以上,"[""品牌"",""质量"",""实用"",""款式/颜色"",""折扣/优惠"",""价格"",""定制/限量""]","[""帝舵TUDOR"",""劳力士ROLEX"",""朗格A.LANGE & SÖHNE""]","[""天梭TISSOT""]",1-3万元,2-3年,1万-3万元,"[""SK-II"",""兰蔻Lancome"",""雅诗兰黛Estee Lauder"",""圣罗兰YSL"",""香奈儿CHANEL""]","[""手机"",""游戏机""]",平均1-2年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统"",""质量/耐用""]",已婚,无子女,,猫,"1,000-3,000元","10,001-30,000元","20,001-50,000元","[""智能产品消费、电子产品消费"",""娱乐消费"",""餐饮消费""]","[""玩游戏"",""郊游/周边游"",""电影、连续剧""]",10次以上,"3,000元以下",质量品质,"[""拼多多"",""淘宝/天猫"",""亚马逊"",""京东""]",是,iOS,352
男,广东,70后（70-79年出生）,大学本科,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,企业高层管理人员,房地产/建筑业,,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""奥迪""]",50-100万元,,比较愿意尝试,高合,"10,001-30,000元",1-2次,商务舱,"[""四星级/高档型"",""民宿/公寓""]","801-1,500元/晚","[""机械腕表""]","[""自用""]",2块,,,"[""保值/收藏价值"",""定制/限量"",""品牌"",""价格"",""实用"",""款式/颜色""]","[""宇舶HUBLOT"",""江诗丹顿VACHERON CONSTANTIN"",""梵克雅宝VANCLEEF&ARPELS"",""宝格丽BVLGARI"",""朗格A.LANGE & SÖHNE""]","[""劳力士ROLEX"",""欧米茄OMEGA""]",20万以上,不确定,,"[""雅诗兰黛Estee Lauder"",""兰蔻Lancome"",""海蓝之谜La Mer"",""香奈儿CHANEL""]","[""摄影摄像（数码相机、单反相机、摄像机等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""操作系统""]",已婚,有一个孩子,"[""已参加工作""]",无,,"10,001-30,000元","200,001-300,000元","[""餐饮消费"",""智能产品消费、电子产品消费"",""兴趣消费""]","[""电影、连续剧"",""健身、各类运动"",""兴趣养成或技能提升类的活动/课程""]",1-5次,"3,000～5,000元",质量品质,"[""京东"",""抖音快手""]",否,iOS,435
男,江苏,95后（95-99年出生）,大学本科,否,"[""none""]",否,企业职员,能源/原材料行业,市场/营销,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""大众""]",20万元以下,,比较愿意尝试,蔚来,"10,000元及以下",很少,经济舱,"[""四星级/高档型""]",800元以下/晚,"[""none""]",,,,,,"[""劳力士ROLEX"",""浪琴LONGINES""]",,,3年以上,1万-3万元,"[""迪奥Dior"",""乔治阿玛尼Giorgio Armani"",""汤姆福特TOM FORD""]","[""手机"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均3年以上购买1部手机,"[""other"",""苹果粉""]",不方便透露,,,猫,"1,000-3,000元",none,,"[""兴趣消费"",""其他"",""餐饮消费""]","[""玩游戏"",""other"",""骑车""]",1-5次,"3,000元以下",质量品质,"[""拼多多"",""抖音快手""]",是,iOS,501
男,江苏,70后（70-79年出生）,大学本科,否,"[""none""]",否,政府机关/公务员/事业单位,,,有2辆及以上汽车,"[""SUV（比如途观、奔驰GLK等）"",""普通轿车（两厢、三厢）""]","[""凯迪拉克"",""大众""]",20-50万元,,比较愿意尝试,特斯拉,"10,001-30,000元",1-2次,经济舱,"[""三星级/舒适型""]",800元以下/晚,"[""机械腕表"",""鞋"",""服饰"",""包"",""珠宝""]","[""自用""]",2块,3-4件,2件,"[""实用""]","[""卡地亚CARTIER""]","[""卡地亚CARTIER""]",5万-10万元,不确定,,"[""none""]","[""手机""]",平均2-3年购买1部手机,"[""性能/配置"",""品牌""]",已婚,有两个及以上孩子,"[""幼儿园（3-6周岁）"",""小学""]",无,,,"200,001-300,000元","[""服饰消费"",""餐饮消费"",""学习消费""]","[""郊游/周边游""]",1-5次,"3,000元以下",实用性强,"[""京东"",""淘宝/天猫""]",否,iOS,241
男,重庆,90后（90-94年出生）,大学本科,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,企业职员,咨询/审计/市场研究,运营,没有汽车,,,,暂时无购车计划,比较愿意尝试,比亚迪,"10,000元及以下",1-2次,经济舱,"[""三星级/舒适型"",""民宿/公寓""]",800元以下/晚,"[""机械腕表""]","[""自用""]",1块,,,"[""品牌"",""保值/收藏价值"",""实用""]","[""浪琴LONGINES"",""积家JAEGER-LECOULTRE"",""劳力士ROLEX"",""欧米茄OMEGA""]","[""浪琴LONGINES""]",1-3万元,不确定,,"[""欧莱雅"",""兰蔻Lancome""]","[""手机"",""摄影摄像（数码相机、单反相机、摄像机等）"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均3年以上购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统"",""售后服务"",""价格""]",未婚,,,无,,"10,000元以下",,"[""服饰消费"",""兴趣消费"",""其他""]","[""电影、连续剧"",""健身、各类运动"",""other"",""摄影""]",1-5次,"3,000元以下",实用性强,"[""淘宝/天猫"",""京东"",""得物""]",否,iOS,609
男,江苏,70后（70-79年出生）,大学本科,否,"[""none""]",是,企业职员,计算机/互联网/电子,人事/行政/财务,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""其他国产品牌""]",20-50万元,,比较愿意尝试,特斯拉,"50,001-80,000元",3-5次,经济舱,"[""四星级/高档型"",""五星级/豪华型""]","801-1,500元/晚","[""机械腕表""]","[""自用""]",1块,,,"[""保值/收藏价值""]","[""帝舵TUDOR""]","[""天梭TISSOT""]",1-3万元,不确定,,"[""none""]","[""游戏机"",""学习设备""]",平均1-2年购买1部手机,"[""操作系统"",""性能/配置""]",已婚,有一个孩子,"[""小学""]",无,,"10,001-30,000元",none,"[""日用品消费"",""汽车相关消费（私家车）"",""智能产品消费、电子产品消费""]","[""电影、连续剧"",""话剧、戏剧、脱口秀等"",""朋友聚会、咖啡吧、酒吧、live house等""]",10次以上,"3,000～5,000元",质量品质,"[""京东"",""淘宝/天猫""]",否,iOS,219
男,浙江,70后（70-79年出生）,大学本科,否,"[""none""]",否,企业高层管理人员,银行/证券/保险/投资机构及互联网金融,,有2辆及以上汽车,"[""普通轿车（两厢、三厢）"",""MPV（比别克GL8等）""]","[""宝马"",""其他日韩品牌""]",20-50万元,,非常愿意尝试,特斯拉,"50,001-80,000元",3-5次,经济舱,"[""四星级/高档型"",""民宿/公寓""]","801-1,500元/晚","[""服饰"",""鞋"",""包""]","[""自用""]",,,5件以上,"[""品牌""]","[""万国IWC""]","[""卡地亚CARTIER""]",,不确定,,"[""雅诗兰黛Estee Lauder"",""兰蔻Lancome""]","[""手机"",""电脑整机（笔记本、一体机、平板电脑等）"",""游戏机""]",平均2-3年购买1部手机,"[""品牌""]",已婚,有两个及以上孩子,"[""初中"",""小学""]",无,,none,none,"[""兴趣消费"",""育儿消费"",""学习消费""]","[""健身、各类运动""]",6-10次,"3,000～5,000元",理念价值观,"[""淘宝/天猫"",""亚马逊""]",否,iOS,579
女,上海,85后（85-89年出生）,大学本科,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,企业职员,计算机/互联网/电子,设计,没有汽车,,,,暂时无购车计划,非常愿意尝试,特斯拉,"10,001-30,000元",很少,经济舱,"[""四星级/高档型"",""三星级/舒适型""]",800元以下/晚,"[""包"",""鞋""]","[""自用""]",,,3-4件,"[""质量"",""实用"",""款式/颜色""]","[""积家JAEGER-LECOULTRE"",""江诗丹顿VACHERON CONSTANTIN""]",,,不确定,,"[""馥蕾诗fresh"",""SK-II"",""植村秀"",""纪梵希Givenchy""]","[""手机""]",平均3年以上购买1部手机,"[""外观/造型"",""操作系统"",""性能/配置""]",未婚,,,无,,"10,001-30,000元",,"[""其他"",""智能产品消费、电子产品消费"",""服饰消费""]","[""看展、逛市集"",""朋友聚会、咖啡吧、酒吧、live house等"",""电影、连续剧"",""读书"",""玩游戏"",""兴趣养成或技能提升类的活动/课程""]",1-5次,"3,000元以下",质量品质,"[""考拉海购"",""京东"",""淘宝/天猫"",""亚马逊""]",否,iOS,689
男,上海,80后（80-84年出生）,大学本科,否,"[""在国内申请研究生""]",是,企业中层管理人员,计算机/互联网/电子,运营,没有汽车,,,,会增购或新购（增购即保留现有车辆再购买一辆）,非常愿意尝试,特斯拉,"50,001-80,000元",1-2次,经济舱,"[""五星级/豪华型""]","1,501-3,000元/晚","[""包"",""鞋"",""服饰""]","[""自用""]",,,5件以上,"[""实用"",""保值/收藏价值"",""品牌""]","[""宇舶HUBLOT"",""宝珀BLANCPAIN"",""欧米茄OMEGA""]","[""欧米茄OMEGA""]",,1-2年,1万-3万元,"[""资生堂"",""Sisley"",""海蓝之谜La Mer""]","[""手机"",""摄影摄像（数码相机、单反相机、摄像机等）"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）""]",平均1-2年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型""]",已婚,无子女,,猫、狗都有,"1,000-3,000元","30,001-50,000元","50,001-10,0000元","[""餐饮消费"",""兴趣消费"",""旅游消费""]","[""话剧、戏剧、脱口秀等"",""电影、连续剧"",""看展、逛市集"",""玩游戏"",""读书""]",10次以上,"3,000～5,000元",实用性强,"[""京东"",""淘宝/天猫""]",否,iOS,346
男,广东,80后（80-84年出生）,高中及以下,否,"[""none""]",否,企业中层管理人员,机械/制造/机电,技术/研发,没有汽车,,,,暂时无购车计划,非常愿意尝试,特斯拉,"10,000元及以下",很少,经济舱,"[""经济型/快捷型连锁"",""三星级/舒适型""]",800元以下/晚,"[""none""]",,,,,,"[""天梭TISSOT"",""百达翡丽PATEK PHILIPPE""]",,,2-3年,1万元以下,"[""香奈儿CHANEL"",""欧莱雅"",""资生堂"",""SK-II""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""游戏机""]",平均1-2年购买1部手机,"[""性能/配置"",""口碑"",""操作系统"",""质量/耐用""]",已婚,有一个孩子,"[""none""]",无,,"10,000元以下","20,000元以下","[""兴趣消费"",""服饰消费"",""智能产品消费、电子产品消费""]","[""玩游戏"",""电影、连续剧""]",1-5次,"3,000元以下",质量品质,"[""京东"",""淘宝/天猫"",""苏宁易购""]",否,iOS,654
男,上海,90后（90-94年出生）,大学本科,否,"[""none""]",否,企业中层管理人员,广告/公关/媒体,市场/营销,有1辆汽车,"[""SUV（比如途观、奔驰GLK等）""]","[""丰田""]",20-50万元,,非常愿意尝试,蔚来,"30,001-50,000元",1-2次,经济舱,"[""五星级/豪华型""]","801-1,500元/晚","[""鞋"",""包"",""珠宝"",""服饰""]","[""自用""]",,3-4件,5件以上,"[""实用"",""质量"",""品牌""]","[""劳力士ROLEX"",""百达翡丽PATEK PHILIPPE""]","[""浪琴LONGINES""]",,3年以上,10万-20万元,"[""欧莱雅"",""海蓝之谜La Mer"",""香奈儿CHANEL"",""纪梵希Givenchy"",""资生堂"",""雅诗兰黛Estee Lauder"",""兰蔻Lancome"",""SK-II"",""圣罗兰YSL"",""乔治阿玛尼Giorgio Armani"",""迪奥Dior""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型""]",已婚,无子女,,无,,none,none,"[""娱乐消费"",""智能产品消费、电子产品消费"",""服饰消费""]","[""逛商场、购物"",""郊游/周边游"",""兴趣养成或技能提升类的活动/课程""]",6-10次,"3,000～5,000元",实用性强,"[""淘宝/天猫""]",否,iOS,353
男,重庆,95后（95-99年出生）,硕士/MBA,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,企业职员,银行/证券/保险/投资机构及互联网金融,人事/行政/财务,没有汽车,,,,暂时无购车计划,非常愿意尝试,特斯拉,"10,001-30,000元",很少,经济舱,"[""三星级/舒适型""]",800元以下/晚,"[""鞋""]","[""自用""]",,,3-4件,"[""款式/颜色""]","[""天梭TISSOT""]","[""天梭TISSOT""]",,1年以内,1万元以下,"[""兰蔻Lancome""]","[""电脑整机（笔记本、一体机、平板电脑等）""]",平均2-3年购买1部手机,"[""性能/配置"",""操作系统""]",未婚,,,无,,"10,000元以下",,"[""兴趣消费"",""餐饮消费"",""学习消费""]","[""兴趣养成或技能提升类的活动/课程"",""读书""]",1-5次,"3,000元以下",实用性强,"[""淘宝/天猫""]",否,iOS,235
男,上海,70后（70-79年出生）,硕士/MBA,否,"[""none""]",否,企业职员,机械/制造/机电,项目管理,有1辆汽车,"[""新能源车""]","[""宝马""]",20-50万元,,非常愿意尝试,特斯拉,"30,001-50,000元",很少,经济舱,"[""五星级/豪华型"",""四星级/高档型""]","801-1,500元/晚","[""服饰"",""包""]","[""自用""]",,,2件,"[""品牌"",""款式/颜色""]","[""万国IWC""]",,,不确定,,"[""植村秀"",""乔治阿玛尼Giorgio Armani""]","[""手机"",""摄影摄像（数码相机、单反相机、摄像机等）"",""游戏机""]",平均1-2年购买1部手机,"[""性能/配置"",""外观/造型"",""操作系统""]",已婚,有一个孩子,"[""小学""]",猫,"1,000元以下","30,001-50,000元","20,001-50,000元","[""兴趣消费"",""智能产品消费、电子产品消费"",""育儿消费""]","[""朋友聚会、咖啡吧、酒吧、live house等"",""郊游/周边游"",""看展、逛市集""]",10次以上,"3,000～5,000元",质量品质,"[""淘宝/天猫"",""京东"",""亚马逊""]",否,iOS,318
男,吉林,85后（85-89年出生）,大学本科,是,"[""none""]",是,企业中层管理人员,银行/证券/保险/投资机构及互联网金融,机构负责人,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""宝马""]",20-50万元,,比较愿意尝试,特斯拉,"10,001-30,000元",1-2次,经济舱,"[""五星级/豪华型""]","801-1,500元/晚","[""none""]",,,,,,"[""宇舶HUBLOT""]",,,不确定,,"[""海蓝之谜La Mer""]","[""手机"",""电脑整机（笔记本、一体机、平板电脑等）"",""游戏机""]",平均1-2年购买1部手机,"[""性能/配置""]",已婚,有一个孩子,"[""幼儿园前（1-3周岁）""]",无,,"10,001-30,000元","20,001-50,000元","[""服饰消费"",""餐饮消费"",""育儿消费""]","[""郊游/周边游"",""电影、连续剧"",""朋友聚会、咖啡吧、酒吧、live house等"",""看展、逛市集"",""玩游戏"",""读书"",""逛商场、购物""]",1-5次,"3,000元以下",质量品质,"[""淘宝/天猫""]",是,iOS,269
男,江苏,60后及以前（69年及之前出生）,硕士/MBA,否,"[""none""]",否,企业职员,机械/制造/机电,技术/研发,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""其他国产品牌""]",20万元以下,,不愿意尝试,,"10,000元及以下",很少,经济舱,"[""经济型/快捷型连锁""]",800元以下/晚,"[""none""]",,,,,,"[""other"",""no""]",,,不打算购买,,"[""none""]","[""手机""]",平均2-3年购买1部手机,"[""品牌""]",已婚,有两个及以上孩子,"[""大学/研究生"",""婴儿（1岁以下）""]",无,,none,none,"[""服饰消费"",""餐饮消费"",""日用品消费""]","[""电影、连续剧"",""读书"",""健身、各类运动""]",10次以上,"3,000元以下",性价比高,"[""京东"",""拼多多""]",否,iOS,302
男,浙江,95后（95-99年出生）,大学本科,否,"[""在国内申请研究生""]",是,企业职员,机械/制造/机电,战略/企划,没有汽车,,,,暂时无购车计划,比较愿意尝试,特斯拉,"10,001-30,000元",很少,经济舱,"[""民宿/公寓""]",800元以下/晚,"[""none""]",,,,,,"[""宝格丽BVLGARI""]",,,不打算购买,,"[""资生堂""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""操作系统"",""质量/耐用"",""价格"",""外观/造型""]",不方便透露,,,狗,"1,000元以下",none,,"[""旅游消费"",""日用品消费"",""学习消费""]","[""电影、连续剧"",""读书"",""玩游戏"",""逛商场、购物"",""郊游/周边游""]",1-5次,"3,000元以下",性价比高,"[""淘宝/天猫"",""得物"",""京东""]",是,iOS,466
女,四川,85后（85-89年出生）,硕士/MBA,否,"[""none""]",是,政府机关/公务员/事业单位,,,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""大众""]",20-50万元,,比较愿意尝试,蔚来,"10,001-30,000元",很少,经济舱,"[""四星级/高档型""]",800元以下/晚,"[""机械腕表"",""包"",""鞋""]","[""自用""]",2块,,3-4件,"[""品牌"",""保值/收藏价值"",""实用"",""价格"",""质量""]","[""卡地亚CARTIER"",""百达翡丽PATEK PHILIPPE"",""积家JAEGER-LECOULTRE"",""浪琴LONGINES"",""宝格丽BVLGARI""]","[""浪琴LONGINES""]",1-3万元,1-2年,1万-3万元,"[""海蓝之谜La Mer"",""乔治阿玛尼Giorgio Armani"",""兰蔻Lancome"",""娇兰"",""资生堂"",""香奈儿CHANEL"",""汤姆福特TOM FORD"",""欧莱雅"",""纪梵希Givenchy"",""SK-II"",""迪奥Dior"",""娇韵诗"",""雅诗兰黛Estee Lauder""]","[""电脑整机（笔记本、一体机、平板电脑等）"",""学习设备""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统"",""质量/耐用"",""价格"",""功能"",""口碑"",""售后服务""]",已婚,有一个孩子,"[""幼儿园（3-6周岁）""]",无,,,none,"[""学习消费"",""餐饮消费"",""育儿消费""]","[""读书"",""郊游/周边游"",""健身、各类运动"",""电影、连续剧"",""逛商场、购物""]",1-5次,"3,000元以下",质量品质,"[""京东"",""淘宝/天猫""]",否,iOS,322
男,广东,95后（95-99年出生）,大学专科,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,企业职员,机械/制造/机电,技术/研发,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""其他日韩品牌""]",20万元以下,,比较愿意尝试,蔚来,"10,001-30,000元",1-2次,经济舱,"[""民宿/公寓"",""四星级/高档型""]","801-1,500元/晚","[""珠宝"",""机械腕表""]","[""自用""]",1块,3-4件,,"[""保值/收藏价值"",""实用""]","[""劳力士ROLEX"",""百达翡丽PATEK PHILIPPE""]","[""江诗丹顿VACHERON CONSTANTIN"",""天梭TISSOT""]",1-3万元,3年以上,1万元以下,"[""Bobbi Brown"",""香奈儿CHANEL"",""欧莱雅"",""迪奥Dior"",""圣罗兰YSL"",""兰蔻Lancome""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统"",""质量/耐用"",""售后服务""]",未婚,,,无,,"30,001-50,000元",,"[""娱乐消费"",""服饰消费"",""汽车相关消费（私家车）""]","[""逛商场、购物"",""郊游/周边游"",""玩游戏"",""朋友聚会、咖啡吧、酒吧、live house等""]",1-5次,"3,000元以下",质量品质,"[""京东"",""淘宝/天猫"",""拼多多""]",否,iOS,323
